Rank,Level,D1,NAIA,Name,GP,SETS,KILLS,KILL/S,E,TA,PCT,PTS,PTS/S,A,A/S
1,Big Ten,1,0,K Martin,29,110,596,5.42,166,1339,0.321,684,6.22,20,0.18
2,Big Ten,1,0,K Wollard,30,116,508,4.38,204,1246,0.244,559,4.82,18,0.16
3,Big Ten,1,0,M Colyer,28,91,484,5.32,123,1080,0.334,539.5,5.93,13,0.14
4,Big Ten,1,0,A Jacobs,31,114,448,3.93,161,1167,0.246,515.5,4.52,44,0.39
5,Big Ten,1,0,C Leverette,30,112,429,3.83,173,1095,0.234,465.5,4.16,10,0.09
6,Big Ten,1,0,J Hanson,30,106,426,4.02,116,1043,0.297,497,4.69,10,0.09
7,Big Ten,1,0,A Clemente,29,106,412,3.89,169,905,0.269,501,4.73,19,0.18
8,Big Ten,1,0,K Barton,29,112,400,3.57,158,1083,0.223,447.5,4,19,0.17
9,Big Ten,1,0,C Vanzandt,32,123,386,3.14,167,1096,0.2,438.5,3.57,13,0.11
10,Big Ten,1,0,A Maxwell,32,112,378,3.38,174,892,0.229,450,4.02,6,0.05
10,Big Ten,1,0,L Wijay,30,107,378,3.53,111,1011,0.264,420.5,3.93,26,0.24
12,Big Ten,1,0,A Malual,30,110,372,3.38,197,998,0.175,457.5,4.16,24,0.22
13,Big Ten,1,0,A Elnady,31,122,371,3.04,112,1110,0.233,437.5,3.59,28,0.23
13,Big Ten,1,0,V Vaulet,30,116,371,3.2,137,879,0.266,454.5,3.92,24,0.21
15,Big Ten,1,0,G Heaney,30,116,370,3.19,89,855,0.329,437.5,3.77,18,0.16
16,Big Ten,1,0,T Boer,29,103,368,3.57,159,935,0.224,385,3.74,2,0.02
17,Big Ten,1,0,C Alonso-Corcelles,30,104,361,3.47,131,947,0.243,419.5,4.03,21,0.2
18,Big Ten,1,0,R Reid,27,106,353,3.33,124,933,0.245,418,3.94,10,0.09
19,Big Ten,1,0,K Staniszewska,30,112,349,3.12,161,937,0.201,405,3.62,24,0.21
20,Big Ten,1,0,J Jager,30,104,348,3.35,135,878,0.243,405.5,3.9,27,0.26
21,Big Ten,1,0,H Jones,27,100,342,3.42,144,972,0.204,388.5,3.88,12,0.12
22,Big Ten,1,0,A Tatum,30,104,336,3.23,107,702,0.326,377.5,3.63,9,0.09
23,Big Ten,1,0,A Markley,30,114,330,2.89,133,882,0.223,393,3.45,13,0.11
23,Big Ten,1,0,H Murray,29,93,330,3.55,91,787,0.304,391.5,4.21,38,0.41
25,Big Ten,1,0,S Mateska,30,110,326,2.96,99,882,0.257,382.5,3.48,27,0.25
26,Big Ten,1,0,C Vares,32,120,306,2.55,133,745,0.232,338.5,2.82,2,0.02
27,Big Ten,1,0,A Mullen,30,107,302,2.82,132,806,0.211,398,3.72,15,0.14
28,Big Ten,1,0,A Aguayo,29,106,294,2.77,103,855,0.223,338,3.19,41,0.39
29,Big Ten,1,0,A Anderson,29,109,292,2.68,89,748,0.271,325,2.98,3,0.03
30,Big Ten,1,0,I Bullington,32,118,291,2.47,125,710,0.234,312,2.64,7,0.06
31,Big Ten,1,0,E Demetrician,28,93,267,2.87,127,661,0.212,307,3.3,18,0.19
32,Big Ten,1,0,R Wuebker,26,98,260,2.65,129,713,0.184,279.5,2.85,17,0.17
33,Big Ten,1,0,T Garvey,32,110,259,2.35,132,673,0.189,272,2.47,5,0.05
34,Big Ten,1,0,M Singletary,30,113,257,2.27,86,562,0.304,351,3.11,5,0.04
34,Big Ten,1,0,S Meyers,29,104,257,2.47,88,738,0.229,300.5,2.89,30,0.29
36,Big Ten,1,0,B Mumcular,28,96,256,2.67,109,722,0.204,297,3.09,17,0.18
